type,price,startDate,timeStep,GHGcost,units
oil,4,7/1/2015,monthly,25,$/MMBtu
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
,4,,,,
