load,startDate,timeStep,units
550,7/1/2015,Hourly,MWh
677.2262983,,,
591.0319127,,,
642.8742103,,,
669.3321355,,,
678.4640994,,,
634.1340119,,,
585.364961,,,
609.7107159,,,
668.0438146,,,
583.236257,,,
591.4826915,,,
686.7140169,,,
560.8209299,,,
617.1609065,,,
644.8662671,,,
570.5133469,,,
668.6310198,,,
570.4632746,,,
619.7926737,,,
585.5376906,,,
673.490487,,,
637.2112048,,,
635.0034503,,,
666.806306,,,
590.4244413,,,
668.5874468,,,
647.7142757,,,
626.1165636,,,
596.6399687,,,
687.1079409,,,
593.7358276,,,
686.3654816,,,
564.5994549,,,
697.9836117,,,
561.4945782,,,
689.9859123,,,
648.7593302,,,
600.2300812,,,
665.0732227,,,
563.9816243,,,
635.5048496,,,
623.963135,,,
586.7888861,,,
685.893692,,,
550.7012855,,,
552.4776068,,,
646.5237555,,,
554.6951785,,,
629.1937193,,,
691.6761013,,,
596.7018266,,,
573.5561007,,,
640.8433119,,,
687.5934601,,,
684.1691348,,,
676.4592415,,,
596.5332847,,,
614.4375952,,,
616.8914839,,,
658.974712,,,
684.5478175,,,
681.3304144,,,
637.2299042,,,
667.1461096,,,
639.6437612,,,
574.5262345,,,
612.1071171,,,
606.8337617,,,
666.2434231,,,
660.160654,,,
615.5909164,,,
668.240263,,,
594.1938116,,,
690.0624848,,,
674.6214312,,,
688.4098457,,,
556.0963194,,,
564.7060651,,,
661.4270319,,,
625.7679398,,,
603.3853459,,,
592.6783524,,,
699.0836408,,,
626.3242944,,,
578.4335861,,,
601.3183729,,,
570.4609167,,,
604.6638215,,,
589.1437924,,,
631.9488696,,,
613.0379705,,,
675.2835213,,,
651.4925688,,,
662.0905813,,,
629.154173,,,
560.0581116,,,
630.8631096,,,
631.6497235,,,
578.9724798,,,
676.0982119,,,
642.9361306,,,
689.831335,,,
664.6248843,,,
674.064919,,,
551.1408863,,,
634.5940977,,,
616.4715213,,,
608.2543747,,,
678.350707,,,
596.1068965,,,
641.7526375,,,
587.3144865,,,
597.3197864,,,
592.2492965,,,
688.1007593,,,
678.8299257,,,
699.8187981,,,
657.4924191,,,
634.6969597,,,
569.6828341,,,
621.6197388,,,
569.9088863,,,
642.359148,,,
671.9482495,,,
580.7214492,,,
598.2266688,,,
565.9392066,,,
550.621763,,,
626.0297342,,,
615.8086791,,,
681.7889477,,,
640.1318289,,,
695.708195,,,
683.7270786,,,
666.3169307,,,
684.9719227,,,
636.9831823,,,
592.3649666,,,
658.093758,,,
658.9442383,,,
570.9042626,,,
618.3364593,,,
612.2163449,,,
692.3844128,,,
584.1659466,,,
680.2979811,,,
654.8144431,,,
560.0450448,,,
613.8357255,,,
605.562338,,,
634.5942516,,,
636.1640914,,,
694.7683573,,,
596.4503216,,,
609.9835829,,,
590.0052069,,,
679.4273334,,,
693.2018021,,,
624.1675001,,,
551.1055866,,,
601.3004122,,,
608.3185571,,,
692.4938121,,,
628.5286244,,,
671.1590931,,,
675.5601238,,,
698.9866714,,,
684.1496791,,,
684.3998933,,,
615.7673928,,,
599.3473691,,,
627.5662245,,,
556.7840343,,,
622.1555279,,,
554.4680955,,,
639.8934365,,,
584.8980602,,,
622.9042157,,,
682.1546839,,,
644.3522291,,,
587.7757072,,,
568.8226471,,,
664.4613709,,,
603.838883,,,
658.4351075,,,
627.7640757,,,
570.0946926,,,
668.161179,,,
691.2201404,,,
553.5300462,,,
550.3461232,,,
688.2340594,,,
572.9822213,,,
669.264358,,,
555.9516874,,,
651.9886887,,,
609.5488815,,,
610.8764794,,,
645.8196454,,,
581.0053965,,,
573.3375366,,,
669.2204954,,,
678.9671392,,,
689.9535542,,,
658.2702712,,,
613.9633513,,,
593.8769008,,,
633.4640924,,,
660.8124624,,,
689.4457258,,,
678.0675027,,,
675.873551,,,
645.3098773,,,
555.0996389,,,
556.9543813,,,
676.7945714,,,
553.2354699,,,
596.2840982,,,
634.9078607,,,
644.5484742,,,
583.7227686,,,
635.0466664,,,
621.7325032,,,
678.5319399,,,
573.8488167,,,
651.8706655,,,
621.2069607,,,
611.4191378,,,
665.8386141,,,
586.1735234,,,
586.1746641,,,
578.6399631,,,
668.6298794,,,
604.0158704,,,
661.5065959,,,
667.2173591,,,
681.0243628,,,
689.6518783,,,
634.6637927,,,
650.6106644,,,
679.1893814,,,
671.778194,,,
607.7454113,,,
612.0926515,,,
555.3555355,,,
616.682945,,,
597.0402843,,,
663.1898825,,,
672.1911235,,,
591.3691504,,,
572.4618784,,,
560.1328809,,,
579.1115286,,,
559.4541072,,,
618.1071233,,,
638.4540146,,,
559.9906701,,,
656.3266415,,,
628.6886836,,,
576.9190352,,,
564.5854443,,,
624.7408422,,,
627.654484,,,
651.4896186,,,
669.2247888,,,
596.4424514,,,
669.5906595,,,
667.9088688,,,
587.2149412,,,
617.2593566,,,
550.5729678,,,
634.246071,,,
680.6590297,,,
585.0039377,,,
688.0682579,,,
586.7355811,,,
556.4037741,,,
558.4011357,,,
671.395448,,,
603.2713889,,,
694.0207596,,,
621.1618181,,,
677.9006546,,,
647.6158151,,,
591.5633989,,,
560.2962972,,,
649.2712912,,,
634.4777036,,,
659.5730547,,,
620.3528977,,,
606.3458359,,,
581.6795595,,,
676.6488335,,,
580.3821578,,,
652.3227552,,,
578.9881858,,,
670.9400365,,,
587.3094943,,,
587.2431301,,,
589.3791359,,,
696.4902573,,,
669.388605,,,
671.2212791,,,
649.4830537,,,
656.0924801,,,
647.957392,,,
691.9323482,,,
640.0830136,,,
650.0604107,,,
651.6503282,,,
618.5820541,,,
656.6301276,,,
665.4674933,,,
574.2967756,,,
688.5625146,,,
565.4335261,,,
557.1221703,,,
602.441354,,,
662.8173728,,,
655.9798446,,,
560.1517882,,,
573.3718952,,,
639.3869063,,,
697.3398448,,,
643.2901202,,,
571.2362459,,,
572.434524,,,
575.1382897,,,
670.7888243,,,
668.4701163,,,
634.2802585,,,
629.6934352,,,
596.4755841,,,
570.1482833,,,
559.1338149,,,
636.2414746,,,
629.2638259,,,
638.1817448,,,
573.0230814,,,
625.7563467,,,
596.1731204,,,
596.7025254,,,
653.1796626,,,
588.1423078,,,
602.755142,,,
569.4046129,,,
573.7199135,,,
655.8806184,,,
661.4898702,,,
620.5156405,,,
564.1949112,,,
673.0063988,,,
666.1653858,,,
569.3887036,,,
570.2399305,,,
608.3520415,,,
662.6714053,,,
698.3870743,,,
698.9195466,,,
622.5399935,,,
579.7867866,,,
604.6962177,,,
643.715932,,,
675.895595,,,
692.2319888,,,
615.1181531,,,
599.5584392,,,
597.9139053,,,
622.3683994,,,
686.2031322,,,
551.4526891,,,
594.3101346,,,
556.7654411,,,
688.8462877,,,
588.965159,,,
587.5746261,,,
573.3533468,,,
659.8127281,,,
582.2094199,,,
577.1472734,,,
610.1845219,,,
691.3550719,,,
628.5540814,,,
575.1591235,,,
625.4767499,,,
692.1363244,,,
638.9413571,,,
582.3011167,,,
617.718342,,,
691.2936165,,,
694.4374889,,,
571.6792377,,,
626.1520711,,,
636.8639654,,,
555.7164343,,,
578.9094387,,,
686.6238052,,,
577.9950661,,,
670.5888527,,,
608.0467122,,,
655.4503168,,,
579.7164397,,,
657.44994,,,
673.1201992,,,
602.5790144,,,
647.4210961,,,
605.1345842,,,
665.0645964,,,
571.0061079,,,
692.4986902,,,
563.2279237,,,
668.4944729,,,
593.7967571,,,
618.6908546,,,
679.5580136,,,
695.6120894,,,
592.3920156,,,
633.8564662,,,
678.2427671,,,
598.4691359,,,
668.4062587,,,
561.5740794,,,
569.7559798,,,
667.8365169,,,
618.8074517,,,
681.465708,,,
585.227706,,,
581.182096,,,
596.2731583,,,
686.8071524,,,
690.0016251,,,
666.3849576,,,
571.5417827,,,
659.0837044,,,
628.2550233,,,
685.1929736,,,
577.2304544,,,
692.8002814,,,
690.784191,,,
603.1309289,,,
580.5736235,,,
666.821037,,,
590.1372569,,,
693.5740354,,,
620.3596849,,,
641.1796343,,,
678.5118418,,,
611.1861751,,,
691.2891122,,,
611.5220599,,,
623.5528155,,,
631.3695073,,,
660.0635576,,,
656.3572647,,,
695.1312454,,,
666.8001989,,,
691.0688483,,,
553.3968869,,,
568.1796281,,,
632.9193674,,,
697.9087585,,,
617.8082761,,,
645.7281187,,,
667.2867986,,,
676.4941247,,,
675.4277775,,,
604.3380476,,,
639.3782669,,,
673.7806838,,,
555.2602177,,,
568.3162783,,,
672.4829826,,,
597.2716486,,,
611.3147771,,,
605.687036,,,
653.480875,,,
614.0274477,,,
651.4131171,,,
615.9628169,,,
623.5747487,,,
559.6596771,,,
672.56007,,,
600.2699653,,,
570.0566843,,,
559.3316851,,,
644.0150056,,,
602.6345709,,,
629.3336759,,,
594.1838553,,,
616.4806371,,,
666.2611355,,,
596.9005631,,,
555.3852921,,,
625.7900443,,,
688.2015795,,,
569.6274185,,,
684.4127114,,,
684.8362727,,,
648.6359881,,,
632.634247,,,
612.7467887,,,
606.0025121,,,
635.39253,,,
606.091375,,,
648.7268928,,,
618.9624999,,,
669.3651729,,,
606.3198248,,,
552.7096234,,,
615.8644798,,,
640.5975137,,,
667.3505784,,,
671.6900823,,,
574.8513233,,,
623.2666741,,,
669.8689299,,,
595.5696212,,,
664.8444475,,,
567.9102298,,,
615.089507,,,
571.7468416,,,
552.8452702,,,
693.903878,,,
555.3776276,,,
577.4641104,,,
607.047165,,,
599.7129464,,,
627.7732845,,,
654.1955351,,,
563.9297853,,,
611.555272,,,
579.4573884,,,
665.7266946,,,
581.3673836,,,
578.5282428,,,
674.6523428,,,
643.2665632,,,
560.0197083,,,
630.9965188,,,
578.748046,,,
693.595992,,,
563.6633231,,,
584.7675274,,,
647.0552436,,,
578.2852433,,,
649.2974882,,,
553.2584079,,,
565.751384,,,
684.708246,,,
636.3333588,,,
649.304986,,,
624.2716561,,,
580.3926873,,,
579.4714487,,,
580.5187821,,,
653.3713527,,,
586.1780023,,,
697.3932958,,,
637.0205058,,,
560.3987181,,,
695.8031744,,,
631.1256805,,,
686.8757883,,,
574.9832169,,,
682.66265,,,
612.8647834,,,
552.1039223,,,
597.6533142,,,
590.5776487,,,
579.4287715,,,
653.0310787,,,
616.8013243,,,
660.4473336,,,
612.0675814,,,
621.7054668,,,
615.6721176,,,
680.3390486,,,
636.8388858,,,
580.4503477,,,
582.7324602,,,
645.9230516,,,
559.9374063,,,
599.4870497,,,
675.6902835,,,
582.8813109,,,
659.8834109,,,
580.4461697,,,
645.8649395,,,
584.6201133,,,
640.4592391,,,
665.2694834,,,
590.4387378,,,
570.7030241,,,
592.0720127,,,
614.6812714,,,
597.4963646,,,
660.8865775,,,
630.3929603,,,
663.9476211,,,
575.9382395,,,
690.3044043,,,
599.1958198,,,
602.2929589,,,
699.5721893,,,
656.2115658,,,
638.4700421,,,
652.6666605,,,
644.5297993,,,
628.3635642,,,
691.0570012,,,
640.4366826,,,
568.405365,,,
572.2700074,,,
679.8617974,,,
619.309554,,,
597.7926054,,,
606.2640936,,,
689.8968201,,,
601.8054167,,,
612.6197018,,,
624.7887305,,,
659.480052,,,
622.4537107,,,
592.2646284,,,
612.7667916,,,
689.9986198,,,
603.8002973,,,
591.175589,,,
652.4988844,,,
691.076367,,,
589.4323443,,,
622.236102,,,
577.1198164,,,
665.7253025,,,
564.6831161,,,
603.5166111,,,
572.8440697,,,
562.880969,,,
550.5255447,,,
638.704861,,,
602.0681356,,,
600.6299745,,,
686.2368982,,,
565.1195937,,,
683.1593523,,,
641.5030792,,,
570.5076993,,,
555.2225264,,,
622.0735076,,,
689.1010669,,,
556.5368191,,,
617.361857,,,
559.6123129,,,
609.3484415,,,
